resume_id,intersection_type,expected_effect,actual_intersection_effect,interaction_effect
R131,college+city,-0.000657,-0.0007399999999999,-8.29999999999e-05
R132,college+city,-0.0041669999999997005,-0.0030979999999999,0.0010689999999998006
R133,college+city,0.002096,0.0022099999999999,0.00011399999999989977
R134,college+city,-0.00016500000000010002,-0.000195,-2.999999999989998e-05
R135,college+city,-0.0005460000000001,-0.000335,0.0002110000000001
R136,college+city,0.0022109999999999,0.001695,-0.0005159999999999002
R137,college+city,0.0011780000000001225,0.001061,-0.00011700000000012243
R138,college+city,-0.000782,-0.000654,0.00012800000000000008
R139,college+city,-0.0031390000000001,-0.00195,0.0011890000000001001
R140,college+city,-0.00037400000000009995,-0.000537,-0.0001629999999999001
R141,college+city,0.0011939999999997998,0.0014659999999999,0.00027200000000010007
R142,college+city,-0.0017399999999998998,-0.002166,-0.0004260000000001001
R143,college+city,-0.0016569999999999,-0.001346,0.0003109999999999001
R144,college+city,-0.0020369999999999,-0.0019669999999999,7.000000000000018e-05
R145,college+city,0.0007409999999998,0.001145,0.0004040000000002
R146,college+city,0.0012859999999999183,0.001204,-8.199999999991829e-05
R147,college+city,-0.0009989999999998,-0.000823,0.00017599999999980001
R148,college+city,0.0066979999999999,0.003352,-0.0033459999999999003
R149,college+city,0.000887,0.001282,0.00039499999999999995
R150,college+city,-0.002086,-0.000726,0.00136
R151,college+city,-0.00034800000000000575,-0.000264,8.400000000000573e-05
R152,college+city,0.00041,0.000495,8.5e-05
R153,college+city,-0.009439,-0.006584,0.002855
R154,college+city,0.0006180000000000001,-8.399999999997299e-05,-0.000701999999999973
R155,college+city,-0.0044379999999998,-0.002489,0.0019489999999997999
R156,college+city,0.0007849999999999001,0.0006109999999999,-0.0001740000000000001
R157,college+city,-0.0013829999999998,-0.0013739999999999,8.99999999989993e-06
R158,college+city,0.00032799999999992324,0.0003619999999999,3.399999999997676e-05
R159,college+city,-0.00033800000000010005,0.0005879999999999,0.0009260000000000001
R160,college+city,0.0012229999999999,0.0011409999999999,-8.200000000000004e-05
R161,college+city,0.0026549999999999,0.0026819999999999,2.7000000000000114e-05
R162,college+city,0.00022499999999989998,0.0002329999999999,8.000000000000032e-06
R163,college+city,0.0006140000000001,0.0009649999999999,0.00035099999999979993
R164,college+city,0.0099229999999998,0.006637,-0.0032859999999998004
R165,college+city,0.002247,0.002166,-8.099999999999991e-05
R166,college+city,-0.0042509999999998,-0.0022499999999999,0.0020009999999999
R167,college+city,0.00285,0.002124,-0.0007260000000000001
R168,college+city,-0.0029729999999998,-0.001962,0.0010109999999997998
R169,college+city,-0.0029979999999998003,-0.0028179999999999,0.0001799999999999003
R170,college+city,-0.00039099999999999996,-0.0002229999999999,0.00016800000000009995
R171,college+city,-0.014866999999999998,-0.008392,0.006474999999999998
R172,college+city,-0.001232,-0.000609,0.0006230000000000001
R173,college+city,0.0009639999999998998,0.0006479999999999,-0.0003159999999999999
R174,college+city,0.0009140000000000427,0.001049,0.0001349999999999573
R175,college+city,-0.004396000000000001,-0.0049849999999999,-0.0005889999999998995
R176,college+city,-0.0015070000000001,-0.001961,-0.0004539999999999
R177,college+city,0.000424,0.000508,8.399999999999998e-05
R178,college+city,-0.0002740000000001,-0.0002700000000001,3.999999999999989e-06
R179,college+city,0.000792,0.00084,4.800000000000008e-05
R180,college+city,-0.0016979999999998,-0.0024289999999999,-0.0007310000000001001
R181,college+city,-0.0008719999999999999,-0.0011339999999999,-0.0002619999999999001
R182,college+city,-0.0087359999999998,-0.0031809999999999,0.005554999999999899
R183,college+city,-0.008723999999999999,-0.005281,0.003442999999999999
R184,college+city,-0.0013090000000001,-0.001369,-5.999999999989998e-05
R185,college+city,-0.0076629999999999,-0.0043269999999999,0.0033359999999999996
R186,college+city,0.0039709999999999,0.002678,-0.0012929999999999001
R187,college+city,0.0016949999999998,0.001585,-0.00010999999999979993
R188,college+city,0.002869,0.0024339999999999,-0.00043500000000010024
R189,college+city,-0.002329,-0.002753,-0.0004239999999999999
R190,college+city,-0.0005740000000000001,-0.000815,-0.0002409999999999999
R191,college+city,-0.0008009999999999,-0.000699,0.00010199999999990002
R192,college+city,-0.0033869999999998,-0.0030429999999999,0.00034399999999989994
R193,college+city,0.0043939999999999,0.002592,-0.0018019999999998996
R194,college+city,-0.0021889999999999,-0.0018529999999999,0.0003359999999999997
R195,college+city,0.001931,0.000804,-0.001127
R196,college+city,0.002006,-0.000356,-0.002362
R197,college+city,0.0008600000000001,-0.0004469999999999,-0.001307
R198,college+city,-0.0008060000000001,-0.0004939999999999,0.00031200000000020003
R199,college+city,0.00016099999999999996,0.0004029999999999,0.00024199999999990006
R200,college+city,0.0055359999999998,0.0043929999999999,-0.0011429999999999002
R001,college+experience,-3.700000000000925e-05,-3.700000000000925e-05,0.0
R002,college+experience,0.00018799999999999996,0.000352,0.00016400000000000003
R003,college+experience,0.002666,0.0013909999999999,-0.0012750000000001
R004,college+experience,0.0011869999999998002,0.001182,-4.999999999800086e-06
R005,college+experience,0.00013000000000004474,0.000105,-2.5000000000044735e-05
R006,college+experience,0.001004,0.001004,0.0
